,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16
2702,0.41,1.0,0.45,0.99,0.1,0.77,0.0,0.58,0.59,0.49,1.0,0.49,0.71,0.25,0.58,0.0
2703,0.42,1.0,0.22,0.65,0.0,0.4,0.91,0.4,1.0,0.64,0.88,0.72,0.91,0.36,0.93,0.0
2704,0.42,1.0,0.24,0.76,0.0,0.53,0.19,0.35,0.79,0.41,1.0,0.48,0.82,0.24,0.73,0.0
2705,0.43,1.0,0.0,0.74,0.15,0.46,1.0,0.43,0.95,0.69,0.72,0.74,0.67,0.37,0.64,0.0
2706,0.43,1.0,0.27,0.92,0.0,0.62,0.53,0.53,1.0,0.73,0.8,0.6,0.5,0.3,0.19,0.0
2707,0.44,1.0,0.13,0.8,0.0,0.59,0.49,0.49,1.0,0.59,0.69,0.39,0.38,0.2,0.18,0.0
2708,0.44,1.0,0.4,0.67,0.0,0.38,0.83,0.39,1.0,0.67,0.97,0.78,0.96,0.39,0.91,0.0
2709,0.45,1.0,0.44,0.81,0.07,0.51,0.0,0.31,0.68,0.35,1.0,0.52,0.89,0.34,0.8,0.0
2710,0.46,1.0,0.16,0.86,0.0,0.42,1.0,0.52,0.68,0.79,0.54,0.98,0.56,0.49,0.61,0.0
2711,0.46,1.0,0.05,0.73,0.0,0.41,0.61,0.41,1.0,0.57,0.84,0.69,0.69,0.35,0.67,0.0
2712,0.47,1.0,0.12,0.7,0.0,0.41,0.65,0.43,1.0,0.49,0.51,0.69,0.49,0.33,0.5,0.0
2713,0.47,1.0,0.35,0.95,0.0,0.66,0.31,0.43,1.0,0.48,0.95,0.66,0.82,0.34,0.79,0.0
2714,0.48,1.0,0.25,0.78,0.0,0.48,0.25,0.3,0.72,0.29,0.94,0.55,0.9,0.32,1.0,0.0
2715,0.48,1.0,0.37,0.83,0.13,0.54,0.0,0.25,0.54,0.23,1.0,0.46,0.78,0.26,0.76,0.0
2716,0.49,1.0,0.05,0.87,0.15,0.59,0.92,0.53,1.0,0.84,0.69,0.57,0.35,0.28,0.0,0.0
2717,0.5,1.0,0.27,0.77,0.0,0.45,0.41,0.3,1.0,0.4,0.84,0.67,0.63,0.33,0.46,0.0
2718,0.5,1.0,0.34,0.84,0.0,0.57,0.49,0.44,0.96,0.52,0.97,0.58,0.93,0.23,1.0,0.0
2719,0.51,1.0,0.0,0.69,0.16,0.52,0.84,0.58,1.0,0.74,0.61,0.83,0.4,0.41,0.16,0.0
2720,0.52,1.0,0.2,0.71,0.0,0.4,0.61,0.39,1.0,0.47,0.76,0.68,0.76,0.34,0.78,0.0
2721,0.53,1.0,0.24,0.78,0.0,0.56,0.36,0.41,1.0,0.55,0.91,0.44,0.59,0.23,0.37,0.0
2722,0.53,1.0,0.34,0.59,0.0,0.22,0.62,0.24,1.0,0.43,0.75,0.82,0.75,0.42,0.75,0.0
2723,0.54,1.0,0.18,0.75,0.0,0.55,0.6,0.51,1.0,0.71,0.74,0.56,0.46,0.29,0.28,0.0
2724,0.55,1.0,0.28,0.75,0.01,0.5,0.0,0.25,0.61,0.3,1.0,0.48,0.65,0.26,0.54,0.0
2725,0.56,1.0,0.14,0.75,0.0,0.42,0.57,0.28,0.98,0.53,1.0,0.65,0.73,0.34,0.71,0.0
2726,0.56,1.0,0.19,0.71,0.0,0.38,0.45,0.16,0.84,0.39,1.0,0.66,0.69,0.34,0.52,0.0
2727,0.56,1.0,0.06,0.76,0.0,0.55,0.78,0.62,1.0,0.84,0.68,0.57,0.44,0.29,0.32,0.0
2728,0.58,1.0,0.11,0.92,0.0,0.62,0.73,0.57,1.0,0.81,0.67,0.94,0.58,0.47,0.55,0.0
2729,0.58,1.0,0.3,0.9,0.0,0.63,0.37,0.46,0.9,0.38,1.0,0.56,0.8,0.27,0.7,0.0
2730,0.59,1.0,0.41,0.79,0.14,0.56,0.0,0.31,0.51,0.21,1.0,0.33,0.85,0.25,0.79,0.0
2731,0.6,1.0,0.38,0.82,0.0,0.59,0.17,0.39,0.93,0.49,1.0,0.47,0.69,0.23,0.39,0.0
2732,0.6,1.0,0.4,0.81,0.0,0.54,0.02,0.43,0.6,0.34,1.0,0.57,0.82,0.36,0.71,0.0
2733,0.61,1.0,0.01,0.74,0.0,0.47,1.0,0.48,0.95,0.73,0.64,0.76,0.54,0.36,0.52,0.0
2734,0.61,1.0,0.33,0.86,0.0,0.58,0.55,0.44,1.0,0.66,0.89,0.63,0.61,0.32,0.34,0.0
2735,0.62,1.0,0.39,0.79,0.0,0.52,0.13,0.39,0.8,0.44,1.0,0.63,0.86,0.32,0.71,0.0
2736,0.63,1.0,0.23,0.87,0.0,0.67,0.28,0.51,0.85,0.54,1.0,0.41,0.77,0.21,0.6,0.0
2737,0.64,1.0,0.15,0.77,0.0,0.45,1.0,0.59,0.84,0.78,0.58,0.9,0.56,0.44,0.67,0.0
2738,0.64,1.0,0.57,0.7,0.0,0.52,0.55,0.48,0.95,0.53,1.0,0.68,0.85,0.32,0.71,0.0
2739,0.66,1.0,0.38,1.0,0.0,0.71,0.02,0.44,0.64,0.36,0.98,0.61,0.94,0.34,1.0,0.0
2740,0.66,1.0,0.38,0.69,0.0,0.4,0.43,0.34,1.0,0.37,0.94,0.63,0.6,0.35,0.41,0.0
2741,0.68,1.0,0.28,0.85,0.04,0.63,0.0,0.38,0.51,0.34,1.0,0.42,0.88,0.25,0.91,0.0
2742,0.69,1.0,0.25,0.86,0.0,0.55,1.0,0.58,0.84,0.86,0.52,0.89,0.51,0.39,0.45,0.0
2743,0.69,1.0,0.65,0.96,0.31,0.71,0.0,0.46,0.4,0.32,1.0,0.46,0.77,0.26,0.67,0.0
2744,0.07,1.0,0.08,0.75,0.0,0.45,0.13,0.23,0.64,0.26,0.7,0.36,0.84,0.28,1.0,0.0
2745,0.71,1.0,0.4,0.85,0.0,0.63,0.19,0.42,0.88,0.45,1.0,0.52,0.8,0.26,0.69,0.0
2746,0.72,1.0,0.19,0.78,0.26,0.62,1.0,0.66,0.81,0.89,0.53,0.68,0.33,0.33,0.0,0.0
2747,0.73,1.0,0.26,0.72,0.0,0.43,0.84,0.37,1.0,0.56,0.76,0.65,0.65,0.33,0.66,0.0
2748,0.74,1.0,0.5,0.65,0.0,0.37,0.03,0.36,0.74,0.39,1.0,0.61,0.7,0.39,0.51,0.0
2749,0.76,1.0,0.33,0.83,0.0,0.55,0.43,0.39,1.0,0.52,0.87,0.55,0.48,0.28,0.15,0.0
2750,0.77,1.0,0.41,0.71,0.0,0.4,0.07,0.18,0.75,0.3,1.0,0.52,0.7,0.37,0.57,0.0
2751,0.78,1.0,0.43,0.92,0.0,0.73,0.14,0.54,0.83,0.55,1.0,0.43,0.63,0.22,0.29,0.0
2752,0.79,1.0,0.41,0.82,0.0,0.61,0.23,0.45,0.77,0.37,0.86,0.54,0.86,0.25,1.0,0.0
2753,0.81,1.0,0.56,0.78,0.22,0.54,0.0,0.3,0.46,0.14,1.0,0.27,1.0,0.25,0.87,0.0
2754,0.83,1.0,0.14,0.75,0.0,0.42,0.97,0.44,1.0,0.67,0.64,0.81,0.6,0.4,0.58,0.0
2755,0.86,1.0,0.32,0.81,0.0,0.57,0.3,0.37,1.0,0.51,0.86,0.46,0.41,0.23,0.11,0.0
2756,0.87,1.0,0.51,0.81,0.0,0.45,0.74,0.46,1.0,0.66,0.89,0.9,0.78,0.44,0.6,0.0
2757,0.89,1.0,0.56,0.85,0.0,0.62,0.44,0.5,1.0,0.54,0.82,0.77,0.52,0.38,0.2,0.0
2758,0.09,1.0,0.09,0.77,0.0,0.46,0.02,0.22,0.81,0.29,1.0,0.35,0.56,0.31,0.59,0.0
2759,0.96,1.0,0.55,0.66,0.0,0.37,0.18,0.37,1.0,0.42,0.95,0.72,0.64,0.36,0.39,0.0
2760,0.97,1.0,0.45,0.84,0.0,0.62,0.02,0.46,0.48,0.41,1.0,0.45,0.58,0.23,0.21,0.0
2761,0.0,0.58,0.44,0.39,0.75,0.09,0.55,0.0,0.25,0.3,0.15,0.63,0.49,0.9,1.0,1.0
2762,0.0,0.87,0.09,0.47,0.8,0.54,0.8,0.07,0.24,0.0,0.02,0.5,0.25,0.91,1.0,1.0
2763,0.0,0.9,0.03,0.56,0.51,0.31,0.43,0.0,0.15,0.22,0.09,0.63,0.38,0.93,1.0,1.0
2764,1.0,1.0,0.48,1.0,0.09,0.75,0.08,0.52,0.61,0.56,0.85,0.25,0.49,0.0,0.0,0.05
2765,1.0,1.0,0.53,0.98,0.28,0.77,0.34,0.57,0.79,0.53,0.76,0.24,0.39,0.04,0.0,0.0
2766,1.0,1.0,0.56,0.97,0.32,0.73,0.54,0.62,0.92,0.46,0.78,0.09,0.36,0.0,0.0,0.16
2767,1.0,1.0,0.6,1.0,0.36,0.91,0.34,0.62,0.68,0.56,0.7,0.33,0.38,0.14,0.0,0.0
2768,1.0,0.81,0.65,0.97,0.24,1.0,0.07,0.64,0.41,0.57,0.65,0.25,0.31,0.0,0.0,0.05
2769,1.0,0.83,0.97,1.0,0.46,0.94,0.46,0.67,0.83,0.42,0.99,0.11,0.51,0.0,0.0,0.03
2770,1.0,0.9,0.68,1.0,0.38,0.74,0.28,0.38,0.68,0.43,0.76,0.15,0.39,0.0,0.0,0.08
2771,1.0,0.91,0.63,1.0,0.18,0.89,0.05,0.53,0.42,0.5,0.77,0.32,0.47,0.04,0.0,0.0
2772,1.0,0.94,0.5,1.0,0.22,0.76,0.3,0.51,0.78,0.44,0.87,0.14,0.48,0.0,0.0,0.05
2773,1.0,0.94,0.54,0.96,0.09,1.0,0.0,0.6,0.43,0.52,0.72,0.24,0.41,0.0,0.13,0.08
2774,1.0,0.96,0.62,1.0,0.33,0.83,0.26,0.45,0.57,0.42,0.75,0.19,0.4,0.0,0.0,0.01
2775,1.0,0.97,0.57,1.0,0.26,0.87,0.21,0.51,0.63,0.45,0.75,0.12,0.37,0.0,0.0,0.03
2776,1.0,0.98,0.58,1.0,0.29,0.81,0.55,0.55,0.87,0.32,0.81,0.04,0.39,0.0,0.0,0.01
2777,1.0,0.98,0.61,1.0,0.41,0.9,0.28,0.61,0.59,0.61,0.57,0.4,0.29,0.19,0.0,0.0
2778,1.0,0.98,0.71,1.0,0.42,0.88,0.35,0.55,0.59,0.41,0.61,0.16,0.31,0.03,0.0,0.0
2779,0.1,0.68,0.25,0.34,0.2,0.0,0.02,0.24,0.0,0.66,0.3,0.88,0.65,0.95,1.0,1.0
2780,0.11,1.0,0.12,0.69,0.6,0.44,0.38,0.0,0.04,0.29,0.0,0.79,0.35,0.99,1.0,0.99
2781,0.11,0.95,0.08,0.55,0.56,0.35,0.33,0.0,0.0,0.25,0.01,0.65,0.43,0.92,1.0,1.0
2782,0.12,0.6,0.37,0.36,0.41,0.0,0.15,0.02,0.0,0.42,0.27,0.66,0.63,0.84,1.0,1.0
2783,0.13,0.87,0.0,0.57,0.6,0.37,0.42,0.0,0.12,0.16,0.14,0.59,0.3,0.98,1.0,1.0
2784,0.13,0.94,0.1,0.63,0.73,0.46,0.65,0.0,0.0,0.08,0.03,0.57,0.31,1.0,1.0,0.99
2785,0.14,1.0,0.01,0.54,0.51,0.47,0.36,0.0,0.0,0.14,0.06,0.71,0.42,0.93,1.0,0.97
2786,0.15,1.0,0.1,0.62,0.39,0.34,0.22,0.0,0.0,0.16,0.07,0.53,0.5,0.69,1.0,0.74
2787,0.15,0.89,0.13,0.49,0.67,0.38,0.39,0.0,0.08,0.29,0.0,0.74,0.35,0.96,1.0,1.0
2788,0.16,0.83,0.0,0.47,0.66,0.62,0.86,0.23,0.19,0.0,0.08,0.48,0.12,0.94,1.0,1.0
2789,0.16,0.88,0.0,0.57,0.38,0.31,0.22,0.0,0.13,0.32,0.11,0.68,0.42,0.95,1.0,1.0
2790,0.17,1.0,0.12,0.65,0.55,0.42,0.29,0.0,0.0,0.2,0.08,0.74,0.43,0.98,1.0,1.0
2791,0.17,0.91,0.24,0.72,0.59,0.4,0.29,0.0,0.05,0.33,0.0,0.9,0.49,0.96,1.0,1.0
2792,0.18,0.81,0.27,0.54,0.59,0.19,0.18,0.0,0.0,0.35,0.06,0.83,0.51,1.0,1.0,1.0
2793,0.18,0.95,0.22,0.59,0.73,0.44,0.44,0.0,0.11,0.31,0.0,0.85,0.51,1.0,1.0,0.99
2794,0.19,0.82,0.16,0.48,0.45,0.18,0.11,0.0,0.0,0.44,0.18,0.84,0.58,1.0,1.0,0.95
2795,0.19,0.91,0.09,0.66,0.63,0.43,0.42,0.0,0.0,0.12,0.11,0.64,0.34,1.0,1.0,0.97
2796,0.2,1.0,0.79,0.93,0.6,0.94,0.2,0.73,0.55,0.55,1.0,0.29,0.53,0.0,0.0,0.14
2797,0.2,0.91,0.27,0.61,0.66,0.35,0.47,0.0,0.0,0.21,0.11,0.66,0.44,0.95,1.0,1.0
2798,0.21,0.87,0.24,0.55,0.6,0.29,0.24,0.0,0.0,0.17,0.1,0.68,0.52,0.9,1.0,1.0
2799,0.21,0.89,0.0,0.68,0.5,0.37,0.49,0.0,0.07,0.15,0.03,0.68,0.39,0.99,1.0,1.0
2800,0.22,0.82,0.17,0.46,0.42,0.1,0.01,0.0,0.0,0.42,0.14,0.82,0.56,0.94,1.0,1.0
2801,0.22,0.95,0.97,1.0,1.0,0.98,0.18,0.95,0.32,0.7,1.0,0.47,0.72,0.0,0.0,0.16
2802,0.23,0.75,0.2,0.52,0.49,0.17,0.17,0.0,0.0,0.43,0.09,0.78,0.53,0.92,1.0,1.0
2803,0.23,0.94,0.08,0.59,0.83,0.45,0.64,0.0,0.24,0.02,0.0,0.48,0.23,0.92,1.0,1.0
2804,0.24,0.85,0.14,0.63,0.69,0.38,0.6,0.0,0.24,0.16,0.0,0.55,0.32,0.91,1.0,1.0
2805,0.24,0.96,0.34,0.62,0.72,0.36,0.37,0.0,0.15,0.4,0.0,0.89,0.5,0.99,1.0,1.0
2806,0.24,0.96,0.91,1.0,1.0,0.95,0.32,0.92,0.25,0.62,0.87,0.51,0.62,0.0,0.0,0.06
2807,0.26,0.86,0.0,0.53,0.63,0.4,0.72,0.0,0.29,0.03,0.31,0.49,0.27,0.92,1.0,1.0
2808,0.26,0.98,0.24,0.49,0.45,0.13,0.17,0.0,0.0,0.35,0.26,0.72,0.62,0.91,1.0,1.0
2809,0.27,0.84,0.27,0.56,0.74,0.3,0.42,0.0,0.17,0.27,0.0,0.64,0.35,0.94,1.0,1.0
2810,0.27,0.94,0.55,0.57,0.61,0.18,0.15,0.0,0.0,0.28,0.05,0.7,0.46,0.93,1.0,1.0
2811,0.28,0.86,0.38,0.57,0.91,0.37,0.57,0.01,0.0,0.0,0.08,0.62,0.42,0.98,1.0,1.0
2812,0.28,0.94,0.99,1.0,0.69,0.95,0.22,0.7,0.51,0.53,1.0,0.27,0.67,0.0,0.0,0.09
2813,0.02,0.97,0.13,0.59,0.44,0.34,0.15,0.0,0.06,0.43,0.0,0.86,0.49,0.98,1.0,1.0
2814,0.29,0.91,0.14,0.57,0.66,0.39,0.3,0.0,0.0,0.19,0.03,0.72,0.39,0.97,1.0,1.0
2815,0.3,1.0,0.23,0.69,0.66,0.33,0.59,0.0,0.19,0.27,0.0,0.67,0.08,1.0,1.0,0.97
2816,0.3,0.91,0.0,0.5,0.57,0.54,0.62,0.19,0.02,0.0,0.02,0.52,0.28,0.96,1.0,1.0
2817,0.31,1.0,0.17,0.68,0.64,0.37,0.43,0.0,0.1,0.21,0.0,0.74,0.39,1.0,1.0,0.98
2818,0.31,0.81,0.49,0.43,0.38,0.07,0.0,0.0,0.05,0.42,0.25,0.73,0.62,0.9,1.0,1.0
2819,0.31,0.95,0.02,0.68,0.64,0.58,0.62,0.1,0.0,0.0,0.1,0.52,0.31,1.0,1.0,1.0
2820,0.32,0.95,1.0,1.0,0.55,0.95,0.0,0.71,0.07,0.45,0.73,0.33,0.78,0.07,0.11,0.0
2821,0.33,0.85,0.25,0.5,0.37,0.14,0.0,0.0,0.06,0.39,0.12,0.75,0.56,0.87,1.0,1.0
2822,0.34,1.0,0.16,0.5,0.59,0.4,0.33,0.0,0.0,0.14,0.1,0.7,0.48,0.95,1.0,0.94
2823,0.34,0.89,0.0,0.64,0.47,0.49,0.61,0.08,0.25,0.0,0.33,0.53,0.45,1.0,1.0,0.92
2824,0.35,0.85,0.89,1.0,1.0,0.96,0.36,0.88,0.33,0.54,0.95,0.4,0.6,0.06,0.0,0.0
2825,0.35,0.95,0.96,1.0,1.0,0.97,0.27,0.87,0.28,0.66,0.96,0.48,0.72,0.13,0.0,0.0
2826,0.36,0.81,0.31,0.54,0.88,0.38,0.58,0.0,0.0,0.08,0.08,0.54,0.38,0.92,1.0,1.0
2827,0.37,1.0,0.16,0.6,0.63,0.42,0.31,0.0,0.03,0.19,0.0,0.75,0.47,0.9,1.0,0.97
2828,0.37,0.89,0.97,1.0,0.6,0.95,0.15,0.72,0.72,0.63,1.0,0.35,0.6,0.08,0.0,0.0
2829,0.37,0.98,0.02,0.64,0.48,0.38,0.17,0.0,0.0,0.26,0.02,0.72,0.38,0.99,1.0,1.0
2830,0.38,0.83,0.4,0.53,0.55,0.14,0.11,0.0,0.0,0.3,0.1,0.71,0.52,0.92,1.0,1.0
2831,0.39,0.86,0.06,0.89,0.39,0.47,0.53,0.0,0.0,0.06,0.1,0.59,0.42,0.96,1.0,1.0
2832,0.39,0.99,0.0,0.65,0.74,0.52,0.74,0.09,0.21,0.0,0.23,0.5,0.24,0.99,1.0,1.0
2833,0.4,0.88,1.0,1.0,0.38,0.91,0.0,0.64,0.41,0.52,0.96,0.38,0.62,0.11,0.0,0.0
2834,0.4,0.95,1.0,1.0,0.32,0.85,0.1,0.58,0.78,0.61,0.87,0.29,0.43,0.0,0.0,0.06
2835,0.41,0.83,0.28,0.54,1.0,0.5,0.76,0.12,0.07,0.0,0.0,0.41,0.14,0.84,0.87,1.0
2836,0.42,1.0,0.0,0.66,0.61,0.57,0.64,0.12,0.19,0.0,0.15,0.47,0.3,0.9,1.0,0.96
2837,0.42,0.95,0.0,0.64,0.48,0.42,0.21,0.0,0.0,0.18,0.05,0.72,0.42,1.0,1.0,0.98
2838,0.43,0.89,0.93,1.0,0.66,0.91,0.4,0.64,0.82,0.43,1.0,0.15,0.52,0.0,0.0,0.01
2839,0.44,0.8,0.21,0.68,0.74,0.38,0.62,0.0,0.0,0.05,0.15,0.51,0.33,0.9,1.0,1.0
2840,0.45,1.0,0.34,0.6,0.47,0.24,0.16,0.0,0.0,0.38,0.2,0.73,0.59,0.85,1.0,0.86
2841,0.45,0.85,0.93,1.0,1.0,0.98,0.48,0.88,0.07,0.62,0.48,0.48,0.48,0.18,0.0,0.0
2842,0.04,0.73,0.53,0.91,1.0,1.0,0.47,0.88,0.2,0.41,0.72,0.36,0.52,0.01,0.0,0.0
2843,0.47,0.96,0.35,0.62,0.44,0.18,0.05,0.0,0.0,0.29,0.18,0.71,0.56,0.91,1.0,1.0
2844,0.04,0.88,0.19,0.58,0.59,0.31,0.24,0.0,0.06,0.35,0.0,0.76,0.44,0.98,1.0,1.0
2845,0.48,0.95,1.0,1.0,1.0,0.92,0.47,0.85,0.34,0.7,0.73,0.35,0.48,0.0,0.0,0.19
2846,0.5,1.0,0.28,0.7,0.79,0.38,0.65,0.0,0.0,0.05,0.2,0.45,0.37,0.85,1.0,0.96
2847,0.51,0.94,1.0,1.0,0.48,0.91,0.06,0.66,0.42,0.5,0.87,0.28,0.6,0.05,0.0,0.0
2848,0.53,1.0,0.3,0.67,0.59,0.35,0.24,0.0,0.06,0.3,0.0,0.75,0.41,0.99,1.0,0.98
2849,0.54,0.84,1.0,1.0,0.8,0.88,0.29,0.72,0.59,0.49,0.94,0.23,0.51,0.0,0.0,0.01
2850,0.54,0.88,1.0,1.0,0.85,0.94,0.38,0.8,0.59,0.59,0.83,0.29,0.47,0.01,0.0,0.0
2851,0.55,0.91,1.0,1.0,0.64,0.94,0.27,0.69,0.53,0.52,0.84,0.32,0.48,0.07,0.0,0.0
2852,0.55,0.97,0.4,0.61,0.55,0.24,0.08,0.0,0.0,0.33,0.1,0.8,0.43,1.0,1.0,0.96
2853,0.56,0.92,0.36,0.64,1.0,0.46,0.72,0.05,0.01,0.0,0.0,0.44,0.18,0.87,0.92,1.0
2854,0.05,0.81,0.01,0.55,0.29,0.22,0.04,0.0,0.0,0.44,0.16,0.8,0.57,0.95,1.0,1.0
2855,0.59,0.94,0.2,0.66,0.58,0.46,0.5,0.02,0.0,0.0,0.21,0.49,0.49,0.96,1.0,1.0
2856,0.61,0.88,0.98,1.0,1.0,0.95,0.62,0.89,0.32,0.64,0.56,0.33,0.38,0.03,0.0,0.0
2857,0.63,0.9,1.0,1.0,0.62,0.84,0.42,0.58,0.82,0.46,0.79,0.17,0.42,0.03,0.0,0.0
2858,0.66,0.83,1.0,1.0,0.98,0.98,0.59,0.88,0.29,0.67,0.49,0.38,0.38,0.1,0.0,0.0
2859,0.68,0.93,0.24,0.82,0.28,0.39,0.45,0.03,0.0,0.0,0.08,0.66,0.48,0.99,1.0,1.0
2860,0.69,0.91,1.0,1.0,0.54,0.83,0.25,0.54,0.73,0.62,0.88,0.31,0.57,0.04,0.0,0.0
2861,0.07,0.91,0.06,0.5,0.71,0.4,0.74,0.0,0.12,0.13,0.0,0.56,0.16,0.94,1.0,1.0
2862,0.79,0.9,0.61,1.0,0.26,0.73,0.44,0.6,0.97,0.5,1.0,0.17,0.51,0.0,0.0,0.08
2863,0.08,0.94,0.71,1.0,0.39,0.96,0.06,0.71,0.6,0.71,1.0,0.35,0.55,0.0,0.0,0.16
2864,0.89,0.94,0.56,1.0,0.15,0.83,0.34,0.56,0.89,0.54,1.0,0.19,0.55,0.0,0.0,0.1
2865,0.95,0.9,0.7,0.95,0.0,1.0,0.0,0.66,0.69,0.59,1.0,0.27,0.53,0.0,0.16,0.13
2866,1.0,1.0,0.4,0.83,0.02,0.51,0.0,0.16,0.67,0.09,0.89,0.38,0.18,0.32,0.11,0.0
2867,1.0,1.0,0.44,0.91,0.07,0.6,0.0,0.24,0.46,0.0,0.99,0.24,0.41,0.3,0.19,0.0
2868,1.0,1.0,0.45,0.91,0.07,0.63,0.0,0.3,0.33,0.01,0.89,0.0,0.63,0.28,0.07,0.31
2869,1.0,1.0,0.47,0.84,0.14,0.51,0.0,0.13,0.44,0.0,0.79,0.31,0.43,0.51,0.1,0.19
2870,1.0,1.0,0.48,0.8,0.17,0.54,0.0,0.26,0.25,0.0,0.96,0.04,0.84,0.23,0.19,0.12
2871,1.0,1.0,0.48,0.85,0.15,0.57,0.0,0.25,0.29,0.0,0.84,0.11,0.65,0.3,0.38,0.09
2872,1.0,1.0,0.49,0.8,0.17,0.51,0.0,0.19,0.34,0.0,0.91,0.15,0.77,0.44,0.23,0.39
2873,1.0,1.0,0.5,0.81,0.16,0.54,0.05,0.25,0.34,0.0,0.89,0.14,0.7,0.41,0.0,0.49
2874,1.0,1.0,0.51,0.85,0.18,0.58,0.0,0.28,0.17,0.0,0.78,0.01,0.68,0.2,0.08,0.12
2875,1.0,1.0,0.52,0.82,0.15,0.54,0.0,0.21,0.44,0.0,0.96,0.17,0.66,0.43,0.07,0.3
2876,1.0,1.0,0.53,0.81,0.16,0.56,0.0,0.25,0.33,0.0,0.89,0.03,0.72,0.19,0.19,0.09
2877,1.0,1.0,0.53,0.93,0.14,0.66,0.0,0.32,0.16,0.0,0.73,0.04,0.76,0.36,0.19,0.37
2878,1.0,1.0,0.54,0.77,0.2,0.49,0.0,0.19,0.41,0.0,1.0,0.11,0.76,0.38,0.11,0.35
2879,1.0,1.0,0.54,0.84,0.18,0.59,0.0,0.29,0.21,0.01,0.75,0.0,0.92,0.27,0.51,0.48
2880,1.0,1.0,0.54,0.91,0.22,0.66,0.0,0.4,0.03,0.13,0.54,0.0,0.81,0.23,0.24,0.31
2881,1.0,1.0,0.55,0.8,0.21,0.54,0.0,0.26,0.28,0.0,0.98,0.05,0.79,0.26,0.07,0.19
2882,1.0,1.0,0.55,0.93,0.23,0.59,0.11,0.15,0.53,0.0,0.77,0.31,0.41,0.62,0.0,0.51
2883,1.0,1.0,0.56,0.8,0.23,0.54,0.0,0.25,0.19,0.0,0.77,0.05,0.7,0.22,0.11,0.16
2884,1.0,1.0,0.56,0.83,0.28,0.56,0.1,0.28,0.21,0.0,0.69,0.06,0.52,0.28,0.0,0.23
2885,1.0,1.0,0.56,0.92,0.22,0.69,0.0,0.42,0.03,0.13,0.47,0.0,0.73,0.23,0.33,0.42
2886,1.0,1.0,0.57,0.83,0.24,0.57,0.03,0.27,0.25,0.0,0.78,0.06,0.54,0.23,0.0,0.17
2887,1.0,1.0,0.57,0.9,0.32,0.6,0.15,0.3,0.26,0.0,0.89,0.07,0.7,0.34,0.0,0.43
2888,1.0,1.0,0.58,0.81,0.24,0.56,0.0,0.28,0.11,0.0,0.64,0.03,0.62,0.25,0.07,0.25
2889,1.0,1.0,0.58,0.88,0.22,0.63,0.0,0.31,0.08,0.0,0.56,0.09,0.59,0.39,0.07,0.47
2890,1.0,1.0,0.58,0.94,0.21,0.66,0.05,0.35,0.17,0.04,0.74,0.0,0.62,0.29,0.0,0.37
2891,1.0,1.0,0.59,0.81,0.25,0.53,0.06,0.22,0.38,0.0,0.88,0.17,0.42,0.24,0.0,0.09
2892,1.0,1.0,0.59,0.83,0.31,0.52,0.2,0.19,0.52,0.0,0.91,0.25,0.48,0.27,0.0,0.07
2893,1.0,1.0,0.6,0.86,0.26,0.58,0.0,0.28,0.16,0.0,0.73,0.09,0.56,0.31,0.03,0.16
2894,1.0,1.0,0.6,0.9,0.26,0.62,0.0,0.31,0.12,0.0,0.62,0.04,0.6,0.33,0.09,0.36
2895,1.0,1.0,0.61,0.85,0.25,0.58,0.0,0.28,0.23,0.0,0.77,0.09,0.85,0.39,0.3,0.5
2896,1.0,1.0,0.62,0.81,0.35,0.58,0.18,0.33,0.31,0.07,0.76,0.0,0.49,0.18,0.0,0.17
2897,1.0,1.0,0.62,0.84,0.35,0.57,0.19,0.24,0.4,0.0,0.72,0.18,0.37,0.31,0.0,0.14
2898,1.0,1.0,0.62,0.88,0.26,0.61,0.0,0.3,0.14,0.0,0.68,0.02,0.63,0.23,0.12,0.13
2899,1.0,1.0,0.63,0.81,0.33,0.6,0.11,0.4,0.0,0.16,0.33,0.0,0.83,0.12,0.65,0.32
2900,1.0,1.0,0.63,0.93,0.24,0.64,0.0,0.3,0.21,0.0,0.7,0.18,0.47,0.46,0.03,0.33
2901,1.0,1.0,0.64,0.9,0.33,0.69,0.1,0.45,0.0,0.17,0.3,0.0,0.5,0.2,0.13,0.36
2902,1.0,1.0,0.66,1.0,0.25,0.69,0.0,0.35,0.14,0.0,0.77,0.0,0.72,0.34,0.1,0.51
2903,1.0,1.0,0.66,0.92,0.26,0.63,0.0,0.27,0.27,0.0,0.76,0.16,0.56,0.5,0.05,0.46
2904,1.0,1.0,0.67,0.86,0.26,0.6,0.0,0.31,0.16,0.0,0.71,0.07,0.65,0.36,0.05,0.48
2905,1.0,1.0,0.68,0.78,0.39,0.55,0.14,0.32,0.0,0.05,0.34,0.0,0.57,0.23,0.15,0.19
2906,1.0,1.0,0.68,0.96,0.38,0.7,0.14,0.44,0.0,0.14,0.36,0.0,0.51,0.23,0.03,0.28
2907,1.0,1.0,0.69,0.94,0.28,0.66,0.0,0.33,0.07,0.0,0.72,0.03,0.79,0.32,0.11,0.33
2908,1.0,1.0,0.72,0.88,0.52,0.6,0.34,0.31,0.32,0.0,0.75,0.04,0.51,0.25,0.0,0.24
2909,1.0,1.0,0.72,0.9,0.41,0.62,0.12,0.31,0.09,0.0,0.57,0.1,0.47,0.33,0.0,0.23
